본부,지사,노선,name,종별구분,이정(km),상부형식,GPS좌표 X,GPS좌표 Y
광주전남본부,보성지사,남해선(영암순천),하산교(순천),2종,44.94,PSCI형교(PSCI),34.73757004,126.96764025
광주전남본부,보성지사,남해선(영암순천),하산교(영암),2종,44.93,PSCI형교(PSCI),34.73757004,126.96764025
광주전남본부,보성지사,남해선(영암순천),해룡교(순천),1종,103.45,PSCI형교(PSCI),34.902162397,127.520516461
광주전남본부,보성지사,남해선(영암순천),해룡교(영암),1종,103.45,PSCI형교(PSCI),34.902162397,127.520516461
광주전남본부,보성지사,남해선(영암순천),호계1교,기타,40.8,라멘교(RA),34.719298983,126.932281244
광주전남본부,보성지사,남해선(영암순천),호계2교(순천),3종,41.14,PSCI형교(PSCI),34.719298983,126.932281244
광주전남본부,보성지사,남해선(영암순천),호계2교(영암),3종,41.14,PSCI형교(PSCI),34.719298983,126.932281244
광주전남본부,보성지사,남해선(영암순천),호동교,기타,13.32,라멘교(RA),34.706528032,126.646029338
광주전남본부,보성지사,남해선(영암순천),호동교(순천),2종,90.51,PSCI형교(PSCI),34.846326431,127.403110457
광주전남본부,보성지사,남해선(영암순천),호동교(영암),2종,90.52,PSCI형교(PSCI),34.846326431,127.403110457
광주전남본부,보성지사,남해선(영암순천),화방1교(순천),3종,61.75,PSCI형교(PSCI),34.813914998,127.11588376
광주전남본부,보성지사,남해선(영암순천),화방1교(영암),3종,61.75,PSCI형교(PSCI),34.813914998,127.11588376
광주전남본부,보성지사,남해선(영암순천),화방2교(순천),2종,62,PSCI형교(PSCI),34.813914998,127.11588376
광주전남본부,보성지사,남해선(영암순천),화방2교(영암),2종,62,PSCI형교(PSCI),34.813914998,127.11588376
광주전남본부,보성지사,남해선(영암순천),화방3교,기타,62.27,라멘교(RA),34.813914998,127.11588376
광주전남본부,보성지사,남해선(영암순천),화방4교,3종,63.36,라멘교(RA),34.813181885,127.126764839
